    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.23   .0042   .0043    .041     300     277    .103
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.39   .0184   .0143    .746    45.4    43.5   -.312
    1.86   .0175   .0139     .33    36.8    39.5   -.143
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.03   .0025   .0025   .0519     409     376    .139
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
     .78   .0039   .0037   -.285     211     201   -.118
    1.23   .0042   .0043   .0413     300     277    .103
    2.45   .0095   .0007     2.4     147     917    -1.8
    1.06   .0103   .0101    .562    36.1    31.7   .0444
    2.21   .0169   .0130    .277    17.7    14.6   .0278
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
     .85   .0019   .0020   .0338     327     306    .139
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
       1   .0038   .0037    .213     243     230    .149
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    2.95   .0095   .0007     2.4     147     917    -1.8
    1.63   .0141   .0112    .428    11.8    16.2   -1.15
     3.2   .0183   .0132    .284      10    12.5   -.204
     8.2   .0492   .0271    .283    5.56    7.41   -.137
    1.65   .0019   .0023   -.497     236     207   -.223
     7.5   .0656   .0371    .283     5.8    7.64   -.137
       1   .0038   .0038   .0213     248     230    .149
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.63   .0141   .0112    .428    11.8    16.2   -1.15
     3.2   .0183   .0132    .284      10    12.5   -.204
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
       6   .0260   .0157    .283    5.76    7.36   -.137
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    2.95   .0095   .0007     2.4     147     917    -1.8
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    2.58   .0026   .0042   -.497     236     207   -.223
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.08   .0035   .0036    -.19     102    94.6    .926
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
       3   .0106   .0007    2.39    83.3     975   -2.24
    1.67   .0141   .0112     .43    21.3    20.9   -1.15
     3.2   .0183   .0132    .284      10    12.5   -.204
       4   .0267   .0179    .284    6.76    8.17   -.137
    1.88   .0016   .0023   -.565     333    3646   -3.79
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.08   .0035   .0036    -.19     102    94.6    .926
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    2.95   .0095   .0007     2.4     147     917    -1.8
    2.62   .0211   .0108      .7    16.3    16.3  -.0001
     3.2   .0183   .0132    .284      10    12.5  -.2035
    0.0     0.0     0.0      0.0     0.0     0.0     0.0
    1.88   .0019   .0023   -.565     333    3646   -3.79
      .6     .35    5.84
      .5     .25    1.75
     .83     .42      .8
      .5      .5       0
      .4      .2    1.59
      .4      .2    1.59
     .57     .22    1.41
      .5      .5    1.38
    CLAD    DIST    JUNM    JUNR    SALM    SALT    SCYN    SPAT
