* Created by program: fequtl
* Version:   5.99 Version date: 13 July 2010          Date/time of run: 2010/10/17: 17.19.27.302

; Source code repository location and revision are:
;     URL: http://www.iqdotdt.com/svn/usf/trunk/fequtl/fequtl.for
;     Rev: 1074
 

;  Report on executable:
;      Operating system is: MS Windows                              
;      Compiler used was: Lahey F95-V 5.70f                       
;      Solution precision: Single                                  
;      Prefetch option used was: No longer applicable.                                                 
TABID= C10
TYPE=  -13 HDATUM=   676.080  CULVERT zrhufd=    0.0000
LABEL= ORCHARD STREET (A-10)    
NHUP=   27
NPFD=   10
   0.59909     0.343
   1.00000     0.348
   0.00000     0.000
   0.01000     0.117
   0.02000     0.164
   0.03730     0.220
   0.06825     0.289
   0.12181     0.369
   0.21219     0.453
   0.35888     0.532
   0.59909     0.572
   1.00000     0.585
   0.00000     0.000
   0.01000     0.188
   0.02000     0.263
   0.03730     0.354
   0.06825     0.469
   0.12181     0.601
   0.21219     0.742
   0.35888     0.855
   0.59909     0.953
   1.00000     0.978
   0.00000     0.000
   0.01000     0.303
   0.02000     0.427
   0.03730     0.576
   0.06825     0.762
   0.12181     0.980
   0.21219     1.215
   0.35888     1.430
   0.59909     1.582
   1.00000     1.632
   0.00000     0.000
   0.01000     0.492
   0.02000     0.695
   0.03730     0.938
   0.06825     1.242
   0.12181     1.601
   0.21219     1.991
   0.35888     2.355
   0.59909     2.622
   1.00000     2.715
   0.00000     0.000
   0.01000     0.803
   0.02000     1.135
   0.03730     1.532
   0.06825     2.031
   0.12181     2.623
   0.21219     3.339
   0.35888     3.884
   0.59909     4.345
   1.00000     4.515
   0.00000     0.000
   0.01000     1.326
   0.02000     1.854
   0.03730     2.501
   0.06825     3.319
   0.12181     4.291
   0.21219     5.362
   0.35888     6.386
   0.59909     7.171
   1.00000     7.472
   0.00000     0.000
   0.01000     2.146
   0.02000     3.019
   0.03730     4.067
   0.06825     5.373
   0.12181     6.916
   0.21219     8.654
   0.35888    10.330
   0.59909    11.636
   1.00000    12.149
   0.00000     0.000
   0.01000     3.369
   0.02000     4.724
   0.03730     6.363
   0.06825     8.407
   0.12181    10.785
   0.21219    13.305
   0.35888    15.556
   0.59909    17.237
   1.00000    17.949
   0.00000     0.000
   0.01000     5.289
   0.02000     7.418
   0.03730    10.002
   0.06825    13.238
   0.12181    17.784
   0.21219    21.100
   0.35888    24.829
   0.59909    27.467
   1.00000    28.409
   0.00000     0.000
   0.01000     8.516
   0.02000    11.952
   0.03730    16.121
   0.06825    21.373
   0.12181    27.624
   0.21219    34.278
   0.35888    40.569
   0.59909    45.207
   1.00000    46.870
   0.00000     0.000
   0.01000    13.969
   0.02000    19.711
   0.03730    26.577
   0.06825    35.247
   0.12181    45.536
   0.21219    56.818
   0.35888    67.536
   0.59909    75.723
   1.00000    78.813
   0.00000     0.000
   0.01000    22.409
   0.02000    31.360
   0.03730    42.285
   0.06825    55.945
   0.12181    71.955
   0.21219    89.159
   0.35888   105.062
   0.59909   117.529
   1.00000   122.538
   0.00000     0.000
   0.01000    35.236
   0.02000    49.462
   0.03730    66.742
   0.06825    88.396
   0.12181   113.903
   0.21219   141.565
   0.35888   167.450
   0.59909   186.670
   1.00000   193.857
   0.00000     0.000
   0.01000    58.330
   0.02000    81.891
   0.03730   110.555
   0.06825   146.592
   0.12181   189.234
   0.21219   235.928
   0.35888   280.539
   0.59909   314.835
   1.00000   328.041
   0.00000     0.000
   0.01000   102.228
   0.02000   143.568
   0.03730   194.099
   0.06825   261.786
   0.12181   332.888
   0.21219   416.242
   0.35888   496.663
   0.59909   558.711
   1.00000   583.375
   0.00000     0.000
   0.01000   183.060
   0.02000   257.039
   0.03730   346.701
   0.06825   458.862
   0.12181   590.730
   0.21219   733.852
   0.35888   868.685
   0.59909   974.527
   1.00000  1019.163
   0.00000     0.000
   0.01000   290.041
   0.02000   406.493
   0.03730   547.032
   0.06825   721.134
   0.12181   922.387
   0.21219  1134.792
   0.35888  1325.789
   0.59909  1471.114
   1.00000  1529.886
   0.00000     0.000
   0.01000   454.983
   0.02000   637.901
   0.03730   859.002
   0.06825  1133.781
   0.12181  1453.322
   0.21219  1794.677
   0.35888  2107.210
   0.59909  2338.359
   1.00000  2426.088
   0.00000     0.000
   0.01000   796.667
   0.02000  1116.550
   0.03730  1502.526
   0.06825  1981.100
   0.12181  2534.625
   0.21219  3124.997
   0.35888  3667.224
   0.59909  4072.748
   1.00000  4230.867
   0.00000     0.000
   0.01000  1449.791
   0.02000  2030.160
   0.03730  2727.821
   0.06825  3586.910
   0.12181  4572.985
   0.21219  5604.799
   0.35888  6536.560
   0.59909  7226.518
   1.00000  7497.775
   0.00000     0.000
   0.01000  2676.384
   0.02000  3745.033
   0.03730  4992.452
   0.06825  6578.229
   0.12181  8340.386
   0.21219 10155.661
   0.35888 11758.061
   0.59909 12918.144
   1.00000 13366.456
   0.00000     0.000
   0.01000  4245.332
   0.02000  5929.702
   0.03730  7933.647
   0.06825 10361.831
   0.12181 13076.840
   0.21219 15827.941
   0.35888 18213.496
   0.59909 19909.383
   1.00000 20555.102
   0.00000     0.000
   0.01000  8171.944
   0.02000  8171.944
   0.03730 10369.653
   0.06825 13338.268
   0.12181 16466.797
   0.21219 19338.873
   0.35888 21471.738
   0.59909 22515.832
   1.00000 22565.994
   0.00000     0.000
   0.01000  8171.944
   0.02000 10944.664
   0.03730 14099.484
   0.06825 17374.465
   0.12181 20216.109
   0.21219 22075.439
   0.35888 22560.279
   0.59909 22563.119
   1.00000 22565.994
; Flow defining minimum head=     0.200
TABID= R10
TYPE=   -6 HDATUM=   679.499  CHANRAT zrhufd=    0.0580
    HEADUP  FREEDROP  RIGHT OVERBANK FLOW - ORCHARD STREET (A-10)      
     0.000   0.00000
     0.093   0.10607
     0.106   0.11145
     0.125   0.11882
     0.149   0.12867
     0.177   0.14089
     0.211   0.15605
     0.253   0.17446
     0.300   0.19604
     0.343   0.21281
     0.401   0.23437
     0.474   0.26105
     0.563   0.29144
     0.672   0.32368
     0.805   0.36223
     0.968   0.40844
     1.207   0.48145
     1.505   0.58045
     1.871   0.65248
     2.357   0.73862
     2.978   0.83625
     3.817   0.95369
     5.050   1.09668
     5.883   1.20207
     6.821   1.08107
     8.022   1.12371
     9.676   1.18254
    11.524   1.29163
    12.879   1.69629
    14.480   3.29773
    20.000   8.81768
    -1.0
 POINTS ON LINES OF CONSTANT UPSTREAM HEAD
   0.00000     0.000
   1.00000     0.000
   0.00000     0.000
   0.01000     0.045
   0.02212     0.065
   0.04584     0.091
   0.05880     0.102
   0.06802     0.108
   0.08128     0.116
   0.14133     0.142
   0.27277     0.167
   0.51622     0.180
   1.00000     0.180
   0.00000     0.000
   0.01000     0.064
   0.02212     0.094
   0.04584     0.133
   0.05880     0.148
   0.06802     0.157
   0.08128     0.169
   0.14133     0.208
   0.27277     0.249
   0.51622     0.271
   1.00000     0.271
   0.00000     0.000
   0.01000     0.098
   0.02212     0.143
   0.04584     0.203
   0.05880     0.226
   0.06802     0.241
   0.08128     0.260
   0.14133     0.321
   0.27277     0.392
   0.51622     0.432
   1.00000     0.443
   0.00000     0.000
   0.01000     0.154
   0.02212     0.224
   0.04584     0.312
   0.05880     0.348
   0.06802     0.373
   0.08128     0.401
   0.14133     0.500
   0.27277     0.618
   0.51622     0.695
   1.00000     0.714
   0.00000     0.000
   0.01000     0.235
   0.02212     0.342
   0.04584     0.480
   0.05880     0.538
   0.06802     0.574
   0.08128     0.620
   0.14133     0.776
   0.27277     0.967
   0.51622     1.102
   1.00000     1.141
   0.00000     0.000
   0.01000     0.359
   0.02212     0.523
   0.04584     0.741
   0.05880     0.830
   0.06802     0.887
   0.08128     0.958
   0.14133     1.205
   0.27277     1.512
   0.51622     1.742
   1.00000     1.816
   0.00000     0.000
   0.01000     0.549
   0.02212     0.807
   0.04584     1.140
   0.05880     1.281
   0.06802     1.365
   0.08128     1.478
   0.14133     1.864
   0.27277     2.353
   0.51622     2.734
   1.00000     2.868
   0.00000     0.000
   0.01000     0.863
   0.02212     1.274
   0.04584     1.796
   0.05880     2.010
   0.06802     2.146
   0.08128     2.318
   0.14133     2.904
   0.27277     3.618
   0.51622     4.221
   1.00000     4.450
   0.00000     0.000
   0.01000     1.251
   0.02212     1.853
   0.04584     2.615
   0.05880     2.930
   0.06802     3.127
   0.08128     3.381
   0.14133     4.248
   0.27277     5.321
   0.51622     6.124
   1.00000     6.431
   0.00000     0.000
   0.01000     1.924
   0.02212     2.855
   0.04584     4.038
   0.05880     4.521
   0.06802     4.828
   0.08128     5.222
   0.14133     6.583
   0.27277     8.295
   0.51622     9.622
   1.00000    10.099
   0.00000     0.000
   0.01000     2.991
   0.02212     4.457
   0.04584     6.273
   0.05880     7.041
   0.06802     7.522
   0.08128     8.143
   0.14133    10.280
   0.27277    13.009
   0.51622    15.185
   1.00000    15.993
   0.00000     0.000
   0.01000     4.762
   0.02212     6.956
   0.04584     9.831
   0.05880    11.047
   0.06802    11.804
   0.08128    12.784
   0.14133    16.169
   0.27277    20.540
   0.51622    24.113
   1.00000    25.508
   0.00000     0.000
   0.01000     7.381
   0.02212    10.872
   0.04584    15.394
   0.05880    17.284
   0.06802    18.473
   0.08128    20.015
   0.14133    25.360
   0.27277    32.337
   0.51622    38.188
   1.00000    40.605
   0.00000     0.000
   0.01000    11.514
   0.02212    17.054
   0.04584    24.170
   0.05880    27.145
   0.06802    29.019
   0.08128    31.445
   0.14133    39.904
   0.27277    51.023
   0.51622    60.528
   1.00000    64.618
   0.00000     0.000
   0.01000    18.217
   0.02212    26.871
   0.04584    38.113
   0.05880    42.829
   0.06802    45.802
   0.08128    49.672
   0.14133    63.228
   0.27277    80.858
   0.51622    96.259
   1.00000   103.070
   0.00000     0.000
   0.01000    30.601
   0.02212    45.133
   0.04584    63.968
   0.05880    71.862
   0.06802    76.846
   0.08128    83.306
   0.14133   105.845
   0.27277   135.843
   0.51622   162.483
   1.00000   174.996
   0.00000     0.000
   0.01000    52.151
   0.02212    76.619
   0.04584   108.443
   0.05880   121.736
   0.06802   130.135
   0.08128   140.975
   0.14133   178.563
   0.27277   227.736
   0.51622   269.970
   1.00000   288.820
   0.00000     0.000
   0.01000    84.801
   0.02212   125.155
   0.04584   177.123
   0.05880   198.761
   0.06802   212.357
   0.08128   239.206
   0.14133   290.897
   0.27277   370.259
   0.51622   438.022
   1.00000   468.373
   0.00000     0.000
   0.01000   141.969
   0.02212   209.012
   0.04584   295.677
   0.05880   331.648
   0.06802   354.243
   0.08128   377.625
   0.14133   484.103
   0.27277   614.508
   0.51622   725.093
   1.00000   774.831
   0.00000     0.000
   0.01000   238.699
   0.02212   351.411
   0.04584   495.988
   0.05880   556.032
   0.06802   598.697
   0.08128   642.113
   0.14133   808.093
   0.27277  1019.926
   0.51622  1196.644
   1.00000  1274.940
   0.00000     0.000
   0.01000   407.480
   0.02212   599.927
   0.04584   845.300
   0.05880   960.786
   0.06802  1009.865
   0.08128  1091.458
   0.14133  1368.949
   0.27277  1719.130
   0.51622  2007.041
   1.00000  2133.862
   0.00000     0.000
   0.01000   684.638
   0.02212  1007.522
   0.04584  1426.136
   0.05880  1600.923
   0.06802  1711.031
   0.08128  1853.595
   0.14133  2349.197
   0.27277  3007.803
   0.51622  3563.080
   1.00000  3791.666
   0.00000     0.000
   0.01000  1105.052
   0.02212  1618.026
   0.04584  2314.987
   0.05880  2524.370
   0.06802  2685.933
   0.08128  2892.165
   0.14133  3573.209
   0.27277  4377.611
   0.51622  4967.614
   1.00000  5189.950
   0.00000     0.000
   0.01000  1560.036
   0.02212  2286.501
   0.04584  3203.389
   0.05880  3576.794
   0.06802  3808.634
   0.08128  4104.656
   0.14133  5092.198
   0.27277  6284.461
   0.51622  7202.505
   1.00000  7577.089
   0.00000     0.000
   0.01000  2460.244
   0.02212  3600.327
   0.04584  5029.471
   0.05880  5607.217
   0.06802  5964.649
   0.08128  6419.518
   0.14133  7922.492
   0.27277  9701.040
   0.51622 11039.967
   1.00000 11591.886
   0.00000     0.000
   0.01000  4161.762
   0.02212  6078.449
   0.04584  8717.166
   0.05880  9422.445
   0.06802 10011.619
   0.08128 10760.211
   0.14133 13205.011
   0.27277 16043.685
   0.51622 18146.357
   1.00000 18992.289
   0.00000     0.000
   0.01000  6679.166
   0.02212  9734.328
   0.04584 13381.129
   0.05880 14998.342
   0.06802 15915.191
   0.08128 17074.268
   0.14133 20812.596
   0.27277 25046.361
   0.51622 28100.559
   1.00000 29310.152
   0.00000     0.000
   0.01000 16297.564
   0.02212 16297.564
   0.04584 18440.094
   0.05880 20372.916
   0.06802 21541.809
   0.08128 22997.486
   0.14133 27528.348
   0.27277 32251.996
   0.51622 35164.816
   1.00000 35787.008
   0.00000     0.000
   0.01000 16297.564
   0.02212 17960.877
   0.04584 23757.338
   0.05880 25810.922
   0.06802 26995.369
   0.08128 28410.779
   0.14133 32296.312
   0.27277 35238.348
   0.51622 35779.719
   1.00000 35787.008
   0.00000     0.000
   0.01000 19406.104
   0.02212 25860.082
   0.04584 31390.662
   0.05880 32919.016
   0.06802 33687.016
   0.08128 34482.191
   0.14133 35763.887
   0.27277 35775.980
   0.51622 35780.324
   1.00000 35787.008
