; Tables of coefficients needed for type 5 flow in culverts.
; Also includes tables for defining the discharge coefficients based
; on rounding/beveling, wingwalls, and projecting entrances. 
TABLE#= 9980
TYPE=  -10
LABEL= Table 6--Cd for culvert in vertical headwall.
   7.9 -.024   0.0 0.012 0.020 0.026 0.033 0.075
  10.0 0.013 0.021 0.025 0.030 0.035 0.044 0.098
  15.0 0.017 0.031 0.038 0.045 0.055 0.066 0.132
  20.0 0.020 0.036 0.047 0.060 0.074 0.088 0.172
  25.0 0.023 0.039 0.053 0.069 0.085 0.101 0.197
  30.0 0.025 0.041 0.056 0.074 0.092 0.110 0.218
  35.0 0.026 0.041 0.057 0.075 0.093 0.111 0.219
 500.0 0.035 0.048 0.067 0.090 0.113 0.143 0.317
  -1.0
TABLE#= 9987
TYPE=  -10
LABEL= Approximation to Figure 16: r/D=0.03
L/D      0.0  0.10  0.15  0.20  0.25  0.30  0.60
   0.0-1.121 -.920 -.820 -.720 -.619 -.519 0.083
   4.0 -.498 -.387 -.308 -.232 -.160   0.0 0.090
   5.4 -.280 -.200 -.128 -.061   0.0 0.033 0.093
   5.9 -.202 -.133 -.064   0.0 0.023 0.037 0.094
   6.4 -.124 -.067   0.0 0.023 0.029 0.041 0.095
   6.9 -.046   0.0 0.023 0.039 0.036 0.045 0.096
   7.5 0.006 0.022 0.030 0.035 0.041 0.049 0.097
  10.0 0.032 0.040 0.044 0.049 0.055 0.062 0.104
  15.0 0.038 0.050 0.056 0.064 0.074 0.084 0.144
  20.0 0.035 0.055 0.065 0.079 0.093 0.107 0.191
  27.5 0.032 0.060 0.074 0.088 0.102 0.116 0.200
  35.0 0.028 0.060 0.076 0.092 0.108 0.124 0.220
 500.0 0.045 0.060 0.080 0.105 0.125 0.155 0.350
  -1.0
TABLE#= 9988
TYPE=   -2
REFL=0.0
 Round/bev        Cd   Cd for type 4 and 6 from table 5
       0.0      0.84
      0.02      0.88
      0.04      0.91
      0.06      0.94
      0.08      0.96
      0.10      0.97
      0.12      0.98
      0.5       0.98
      -1.0
TABLE#= 9989
TYPE=   -2
REFL=0.0
Rel. round        Kr Rel. rounding adj. for types 1, 2, &3. Fig. 21
       0.0      1.00
      0.02     1.042
      0.04     1.082
      0.06     1.120
      0.08     1.155
      0.10     1.180
      0.12     1.195
      0.14     1.200
      1.00     1.200
      -1.0
TABLE#= 9990
TYPE=  -10
LABEL= Table for Figure 22: Rel. bevel. Types 1, 2, &3
RelBev   0.0  30.0  45.0  60.0 
   0.0 1.000 1.000 1.000 1.000 
  0.01 1.000 1.009 1.033 1.041 
  0.02 1.000 1.026 1.062 1.083 
  0.03 1.000 1.039 1.087 1.122 
  0.04 1.000 1.050 1.106 1.161 
  0.05 1.000 1.060 1.123 1.194 
  0.06 1.000 1.069 1.135 1.217 
  0.07 1.000 1.075 1.144 1.228 
